x1,y1,x2,y2,cnt,cdate,ftime,sin,o,d
121.4164,24.8824,121.4164,24.8824,1,20170927,7,上班尖峰,三峽區,三峽區
121.4164,24.8824,121.5136,25.2331,0,20170927,7,上班尖峰,三峽區,三芝區
121.4164,24.8824,121.4874,25.0631,0,20170927,7,上班尖峰,三峽區,三重區
121.4164,24.8824,121.4940,24.9906,0,20170927,7,上班尖峰,三峽區,中和區
121.4164,24.8824,121.5385,25.0702,0,20170927,7,上班尖峰,三峽區,中山區
121.4164,24.8824,121.5198,25.0320,0,20170927,7,上班尖峰,三峽區,中正區
121.4164,24.8824,121.4331,25.0962,0,20170927,7,上班尖峰,三峽區,五股區
121.4164,24.8824,121.5717,25.0304,14,20170927,7,上班尖峰,三峽區,信義區
121.4164,24.8824,121.5924,25.0841,1,20170927,7,上班尖峰,三峽區,內湖區
121.4164,24.8824,121.4118,25.1389,0,20170927,7,上班尖峰,三峽區,八里區
121.4164,24.8824,121.5173,25.1474,1,20170927,7,上班尖峰,三峽區,北投區
121.4164,24.8824,121.6094,25.0364,2,20170927,7,上班尖峰,三峽區,南港區
121.4164,24.8824,121.4455,24.9644,0,20170927,7,上班尖峰,三峽區,土城區
121.4164,24.8824,121.7240,24.9107,0,20170927,7,上班尖峰,三峽區,坪林區
121.4164,24.8824,121.5515,25.1257,1,20170927,7,上班尖峰,三峽區,士林區
121.4164,24.8824,121.5139,25.0622,0,20170927,7,上班尖峰,三峽區,大同區
121.4164,24.8824,121.5438,25.0256,6,20170927,7,上班尖峰,三峽區,大安區
121.4164,24.8824,121.7578,25.0260,0,20170927,7,上班尖峰,三峽區,平溪區
121.4164,24.8824,121.5744,24.9882,0,20170927,7,上班尖峰,三峽區,文山區
121.4164,24.8824,121.5318,24.9305,2,20170927,7,上班尖峰,三峽區,新店區
121.4164,24.8824,121.4381,25.0354,0,20170927,7,上班尖峰,三峽區,新莊區
121.4164,24.8824,121.5578,25.0587,7,20170927,7,上班尖峰,三峽區,松山區
121.4164,24.8824,121.4576,25.0115,0,20170927,7,上班尖峰,三峽區,板橋區
121.4164,24.8824,121.3510,25.1015,0,20170927,7,上班尖峰,三峽區,林口區
121.4164,24.8824,121.4013,24.9802,0,20170927,7,上班尖峰,三峽區,樹林區
121.4164,24.8824,121.5157,25.0079,0,20170927,7,上班尖峰,三峽區,永和區
121.4164,24.8824,121.6552,25.0733,0,20170927,7,上班尖峰,三峽區,汐止區
